#TYPE;TAG;INSTANCE NAME;APPLICATION_MEASUREMENT_NAME;APPLICATION_GROUP;SERVICE_ID;CUSTOMER;WAE_IP
OAM;APP_56.210.62.20_Citrix;APP Citrix WAE 2971885-YAKMWA-VZB-WAAS;Citrix;APP_GP_56.207.245.4_Citrix;SERVICE_56.207.245.4;;56.210.62.20
OAM;APP_56.210.81.208_Internet_Radio_Stream;APP Internet_Radio_Stream WAE 2324661-SETLWA-VZB-WAAS-1;Internet_Radio_Stream;APP_GP_56.207.245.4_Internet_Radio_Stream;SERVICE_56.207.245.4;;56.210.81.208
OAM;APP_56.231.165.100_Backup;APP Backup WAE 5212853-FRSNCA-ATT-WAAS;Backup;APP_GP_56.207.245.4_Backup;SERVICE_56.207.245.4;;56.231.165.100
OAM;APP_56.145.184.86_Enterprise-Applications;APP Enterprise-Applications WAE 4366809-CNTNMI-ATT-WAAS;Enterprise-Applications;APP_GP_56.207.245.4_Enterprise-Applications;SERVICE_56.207.245.4;;56.145.184.86
OAM;APP_56.74.6.26_Directory-Services;APP Directory-Services WAE 2047880031-LSVLKY-ATT-WAAS;Directory-Services;APP_GP_56.207.245.4_Directory-Services;SERVICE_56.207.245.4;;56.74.6.26
OAM;APP_56.48.0.10_Web;APP Web WAE 4282667-WLKBPA-ATT-WAAS;Web;APP_GP_56.207.245.4_Web;SERVICE_56.207.245.4;;56.48.0.10
OAM;APP_56.188.64.5_Replication;APP Replication WAE 6113304-CLGSTX-VZB-WAAS;Replication;APP_GP_56.207.245.4_Replication;SERVICE_56.207.245.4;;56.188.64.5
OAM;APP_56.229.3.4_Other;APP Other WAE 9791980-WSCRCA-VZB-WAAS;Other;APP_GP_56.207.245.4_Other;SERVICE_56.207.245.4;;56.229.3.4
OAM;APP_56.216.165.9_Enterprise-Applications;APP Enterprise-Applications WAE 6567241-DNVRCO-XOC-WAAS;Enterprise-Applications;APP_GP_56.207.245.4_Enterprise-Applications;SERVICE_56.207.245.4;;56.216.165.9
OAM;APP_56.185.52.7_SSH;APP SSH WAE 1017679-MCLNTX-XOC-WAAS;SSH;APP_GP_56.207.245.4_SSH;SERVICE_56.207.245.4;;56.185.52.7
OAM;APP_56.70.115.63_Replication;APP Replication WAE 3959397-BLTMMD-VZB-WAAS;Replication;APP_GP_56.207.245.4_Replication;SERVICE_56.207.245.4;;56.70.115.63
OAM;APP_56.50.168.9_File-System;APP File-System WAE 4106360976-BTHMPA-ATT-WAAS;File-System;APP_GP_56.207.245.4_File-System;SERVICE_56.207.245.4;;56.50.168.9
OAM;APP_56.145.129.93_Internet_Radio_Stream;APP Internet_Radio_Stream WAE 2502800113-ANARMI-ATT-WAAS;Internet_Radio_Stream;APP_GP_56.207.245.4_Internet_Radio_Stream;SERVICE_56.207.245.4;;56.145.129.93
OAM;APP_56.185.52.7_SQL;APP SQL WAE 1017679-MCLNTX-XOC-WAAS;SQL;APP_GP_56.207.245.4_SQL;SERVICE_56.207.245.4;;56.185.52.7
OAM;APP_56.183.113.10_Citrix;APP Citrix WAE 4841450025-HSTNTX-ATT-WAAS;Citrix;APP_GP_56.207.245.4_Citrix;SERVICE_56.207.245.4;;56.183.113.10
OAM;APP_56.184.192.12_File-Transfer;APP File-Transfer WAE 4822700015-IRVNTX-ATT-WAAS;File-Transfer;APP_GP_56.207.245.4_File-Transfer;SERVICE_56.207.245.4;;56.184.192.12
