#Device-IP;TimeStamp;compressedIn;compressedOut;unCompressedIn;unCompressedOut;passthroughintermediatein;passthrough_other_out;passthroughoverloadin;passthroughoverloadout;passthroughpeerin;passthroughpeerout;passthroughpolicyin;passthroughpolicyout;frequency
56.155.10.38;2015-09-16 01:30:00;352533526;84622698;994819796;663317402;38132268;28897;-1;-1;0;0;92405187;530263689;hour
56.155.10.38;2015-09-16 02:30:00;256382077;80135192;968544108;519636073;34796828;24583;-1;-1;0;0;89475007;545567357;hour
56.155.10.38;2015-09-16 03:30:00;89896464;69845172;741108587;293180702;28862971;21504;-1;-1;0;0;77043028;392364320;hour
56.155.10.38;2015-09-16 04:30:00;89426197;59579023;951944666;285646647;16980880;13414;-1;-1;0;0;54811953;528721210;hour
56.155.10.38;2015-09-16 05:30:00;42129928;56526381;374302243;326926318;10931879;11080;-1;-1;0;0;40341534;166824609;hour
56.155.10.38;2015-09-16 06:30:00;35134030;55281459;366272094;138074475;5725403;10978;-1;-1;0;0;41680100;186190047;hour
56.155.10.38;2015-09-16 07:30:00;36222362;54582304;404877516;135293038;8456501;10050;-1;-1;0;0;32995946;183291855;hour
56.155.10.38;2015-09-16 08:30:00;85117082;63189349;429268898;194974746;5870373;10140;-1;-1;0;0;33722734;231154466;hour
56.155.10.38;2015-09-16 09:30:00;43418426;56006632;600116327;160662176;9535436;12050;-1;-1;0;0;40735533;342465955;hour
56.155.10.38;2015-09-16 10:30:00;89991806;54929584;654628592;293382525;8881150;10518;-1;-1;0;0;43398114;409810618;hour
56.155.10.38;2015-09-16 11:30:00;45591631;54650770;737649160;159238740;11823746;15353;-1;-1;0;0;50191212;482122091;hour
56.155.10.38;2015-09-16 12:30:00;40032112;55333914;491820354;121620282;10014243;11135;-1;-1;0;0;34875776;254273549;hour
56.155.10.38;2015-09-16 13:30:00;37362020;54759869;418018225;133950150;9747324;10908;-1;-1;0;0;34516472;210031647;hour
56.155.10.38;2015-09-16 14:30:00;52063197;57125555;449610211;149404600;8970669;13489;-1;-1;0;0;40637554;242285565;hour
56.155.10.38;2015-09-16 15:30:00;51077664;57574811;355394429;141212200;8605862;9247;-1;-1;0;0;33916444;151890857;hour
56.155.10.38;2015-09-16 16:30:00;91074831;64295930;380570400;223110103;6340425;11836;-1;-1;0;0;49238572;214012343;hour
56.155.10.38;2015-09-16 17:30:00;136126641;68121897;471549700;357826544;5843001;12685;-1;-1;0;0;55727396;291050606;hour
56.155.10.38;2015-09-16 18:30:00;128402573;73947697;708087417;292782756;13866392;19496;-1;-1;0;0;63396132;419324302;hour
56.155.10.38;2015-09-16 19:30:00;130030905;80111197;1162059795;501918372;21289640;19144;-1;-1;0;0;85095695;691522012;hour
56.160.16.96;2015-09-15 21:30:00;2296414201;7285504145;13345225788;5187471830;91767850;95836;-1;-1;0;0;250633730;2362620832;hour
56.160.16.96;2015-09-15 22:30:00;1711026126;670507157;4162557573;3627877043;199135491;109201;-1;-1;0;0;359448138;2180792400;hour
56.160.16.96;2015-09-15 23:30:00;2142873975;479736882;4975665566;4007150601;174787261;120401;-1;-1;0;0;323492646;2786955289;hour
56.160.16.96;2015-09-16 00:30:00;2512285802;852087434;4875625699;4362526472;97686859;86404;-1;-1;0;0;249688315;2621294804;hour
56.160.16.96;2015-09-16 01:30:00;1903763628;926616076;4790265368;3440281228;126485470;95582;-1;-1;0;0;278147520;2359871027;hour
56.160.16.96;2015-09-16 02:30:00;1223498353;306617013;3464182883;2731344969;95504132;98933;-1;-1;0;0;243458585;1941645689;hour
56.160.16.96;2015-09-16 03:30:00;1207365666;312888423;2457615932;2585761112;86920166;80037;-1;-1;0;0;196752831;1399057948;hour
56.160.16.96;2015-09-16 04:30:00;394346083;162496098;1616780152;1216933476;58652282;75357;-1;-1;0;0;129741044;899019692;hour
56.160.16.96;2015-09-16 05:30:00;183039296;138189612;1816072253;725708393;33189447;57067;-1;-1;0;0;102514491;1117598078;hour
56.160.16.96;2015-09-16 06:30:00;146189262;105620385;1132799794;584691358;20289356;51933;-1;-1;0;0;94006127;842788634;hour
56.160.16.96;2015-09-16 07:30:00;146858865;104478081;2310875539;1897026143;35109394;46501;-1;-1;0;0;107651433;1561681357;hour
56.160.16.96;2015-09-16 08:30:00;133140311;111068281;3768926261;792518506;56327447;63437;-1;-1;0;0;121304548;2269931121;hour
56.160.16.96;2015-09-16 09:30:00;154235401;145900466;1423234224;730233125;27625426;44723;-1;-1;0;0;96183829;921183843;hour
56.160.16.96;2015-09-16 10:30:00;174716334;133538172;3056758944;1323779599;35981219;51812;-1;-1;0;0;142780710;2120366877;hour
56.160.16.96;2015-09-16 11:30:00;166730696;138702418;1968901381;1725883259;175552901;56612;-1;-1;0;0;277922735;1366754540;hour
56.160.16.96;2015-09-16 12:30:00;152635249;99657748;1362395507;1348279280;36932469;47317;-1;-1;0;0;103675558;890025936;hour
56.160.16.96;2015-09-16 13:30:00;174646299;104037761;1259093765;1319175053;27924160;44245;-1;-1;0;0;95810758;789244209;hour
56.160.16.96;2015-09-16 14:30:00;177228214;119857092;1900388735;1298665845;30403653;50214;-1;-1;0;0;97017927;1157829136;hour
56.160.16.96;2015-09-16 15:30:00;147077920;104486938;625972273;1305963715;20972051;48986;-1;-1;0;0;82183670;301319553;hour
56.160.16.96;2015-09-16 16:30:00;214244378;111375166;1884795627;1410719380;27253243;55011;-1;-1;0;0;99723959;1161186850;hour
56.160.16.96;2015-09-16 17:30:00;603153780;162381814;2262783166;2249662563;52192732;69662;-1;-1;0;0;152517421;1292433842;hour
56.160.16.96;2015-09-16 18:30:00;140725581;226068566;3688706250;1684181435;64295442;94974;-1;-1;0;0;418535427;2813056867;hour
56.160.16.96;2015-09-16 19:30:00;1582637418;460464420;5313702708;3723622650;126475093;120900;-1;-1;0;0;322151613;3283085193;hour
56.160.16.97;2015-09-15 21:30:00;451263453;468830002;2511779117;1914945994;92422287;101715;-1;-1;0;0;368952544;1582124408;hour
56.160.16.97;2015-09-15 22:30:00;1267442727;520792537;2250727091;2752881229;113868647;127517;-1;-1;0;0;230225561;996900521;hour
56.160.16.97;2015-09-15 23:30:00;1132652976;364439162;2406507942;2578387208;86443653;108388;-1;-1;0;0;184942311;1187733113;hour
56.160.16.97;2015-09-16 00:30:00;2163193548;620652791;2435553379;3834822525;106859541;122690;-1;-1;0;0;216221390;1051035593;hour
56.160.16.97;2015-09-16 01:30:00;1745552085;725510564;2835588802;3648410278;159462775;119316;-1;-1;0;0;281558415;1068572887;hour
56.160.16.97;2015-09-16 02:30:00;924469234;323488246;1782763238;2884141354;204129565;102639;-1;-1;0;0;377369615;879897439;hour
56.160.16.97;2015-09-16 03:30:00;379248258;436234957;1863351774;1403154657;106568006;86469;-1;-1;0;0;192886896;834644977;hour
56.160.16.97;2015-09-16 04:30:00;263689940;185094768;764907948;965438179;65686708;67628;-1;-1;0;0;117994073;329379473;hour
56.160.16.97;2015-09-16 05:30:00;162621429;148320776;520086056;573440578;41421922;64800;-1;-1;0;0;97864262;253859443;hour
56.160.16.97;2015-09-16 06:30:00;181501476;145788269;675366720;1014442685;35553151;64680;-1;-1;0;0;85676696;332705822;hour
56.160.16.97;2015-09-16 07:30:00;226265709;1794822376;3542205503;3330046857;45334556;66941;-1;-1;0;0;96838246;872907744;hour
56.160.16.97;2015-09-16 08:30:00;229421720;1142450552;3424019005;895688568;61247430;70046;-1;-1;0;0;105581504;1177154562;hour
56.160.16.97;2015-09-16 09:30:00;206768183;1055486608;1530799180;526773486;22499077;57683;-1;-1;0;0;66022466;297802176;hour
56.160.16.97;2015-09-16 10:30:00;192460406;762580245;1827785820;1159174398;27185052;70150;-1;-1;0;0;107211005;839897965;hour
56.160.16.97;2015-09-16 11:30:00;160054559;325533649;1344002646;1205112018;35381026;68574;-1;-1;0;0;98591796;762274434;hour
56.160.16.97;2015-09-16 12:30:00;175852014;156692541;700067788;1170726235;42333333;67722;-1;-1;0;0;89497798;346997331;hour
56.160.16.97;2015-09-16 13:30:00;141713166;135778287;1146019723;1143948478;39450781;58383;-1;-1;0;0;87023499;643639093;hour
56.160.16.97;2015-09-16 14:30:00;155285528;132227288;620966728;1093817967;33260991;70555;-1;-1;0;0;73023123;284433850;hour
56.160.16.97;2015-09-16 15:30:00;140646438;125898234;419252519;1316816981;128869674;58523;-1;-1;0;0;184988233;174866576;hour
56.160.16.97;2015-09-16 16:30:00;227657711;136808737;604691494;1230632269;45564556;60472;-1;-1;0;0;93806145;292374594;hour
56.160.16.97;2015-09-16 17:30:00;315520706;176735714;921280371;1575513867;99125011;71398;-1;-1;0;0;199120257;524539314;hour
56.160.16.97;2015-09-16 18:30:00;1035927054;846896821;3055439063;2888902349;162764991;91550;-1;-1;0;0;368229596;1293671333;hour
56.160.16.97;2015-09-16 19:30:00;1961932541;581598863;2894011143;4077849381;235444113;97941;-1;-1;0;0;415361621;1410748968;hour
56.160.16.98;2015-09-15 21:30:00;1129812585;202660431;2265655563;2318264320;274656834;117776;-1;-1;0;0;380824162;1507135933;hour
56.160.16.98;2015-09-15 22:30:00;1789647184;324515633;4791555353;2749110486;102326332;115317;-1;-1;0;0;230557354;3227516101;hour
56.160.16.98;2015-09-15 23:30:00;929783939;181834742;1638203014;1814584639;110799769;119285;-1;-1;0;0;201240783;888325595;hour
56.160.16.98;2015-09-16 00:30:00;1841261003;529168999;2008786054;2976793049;84060666;114098;-1;-1;0;0;189810168;929139593;hour
56.160.16.98;2015-09-16 01:30:00;1451626293;302806799;2318286097;2720718853;66465078;84624;-1;-1;0;0;176354912;1466670533;hour
56.160.16.98;2015-09-16 02:30:00;1237369724;220834796;1579043945;1820038070;61063772;88627;-1;-1;0;0;148173143;892138484;hour
56.160.16.98;2015-09-16 03:30:00;611769090;141119579;2048312542;1652943331;40413204;84790;-1;-1;0;0;491596699;1337910719;hour
56.160.16.98;2015-09-16 04:30:00;140305637;55038238;892369363;511389253;22842092;55606;-1;-1;0;0;202934323;567825631;hour
56.160.16.98;2015-09-16 05:30:00;66376057;42734515;352558702;255107116;18694953;49746;-1;-1;0;0;57648445;201979912;hour
56.160.16.98;2015-09-16 06:30:00;100591154;43520847;570143220;226014559;16940420;53471;-1;-1;0;0;56634625;357958212;hour
56.160.16.98;2015-09-16 07:30:00;50752593;91189763;1224821044;1739464688;25479543;56192;-1;-1;0;0;64210506;690210192;hour
56.160.16.98;2015-09-16 08:30:00;31144546;98445728;1937578797;259716940;39683279;60008;-1;-1;0;0;73754534;1006503286;hour
56.160.16.98;2015-09-16 09:30:00;30446505;98475254;936214065;147135674;14125068;52611;-1;-1;0;0;60584439;761513070;hour
56.160.16.98;2015-09-16 10:30:00;144575255;56715077;1124317242;705752815;21352993;61010;-1;-1;0;0;79954206;770779792;hour
56.160.16.98;2015-09-16 11:30:00;47124076;47139773;809014279;656623312;17561516;59267;-1;-1;0;0;66567689;580251727;hour
56.160.16.98;2015-09-16 12:30:00;56922838;46323028;816985729;603189941;34146056;62347;-1;-1;0;0;75610345;496432052;hour
56.160.16.98;2015-09-16 13:30:00;46074203;45684472;524323123;548827269;17855349;56525;-1;-1;0;0;54527502;317477329;hour
56.160.16.98;2015-09-16 14:30:00;124166765;48489160;716643888;692420444;18667237;50750;-1;-1;0;0;56832490;410000293;hour
56.160.16.98;2015-09-16 15:30:00;63225681;48346836;407665687;553315137;13685700;47956;-1;-1;0;0;50127485;222048421;hour
56.160.16.98;2015-09-16 16:30:00;63028165;51792346;448797962;657211346;50343935;66416;-1;-1;0;0;93978991;267843520;hour
56.160.16.98;2015-09-16 17:30:00;181801965;73240738;871819637;1144774837;133272076;97560;-1;-1;0;0;188852289;519233898;hour
56.160.16.98;2015-09-16 18:30:00;903729816;159250065;1935017570;2214049591;267088970;114225;-1;-1;0;0;394417080;1244415342;hour
56.160.16.98;2015-09-16 19:30:00;1012179127;271091122;1883788683;2189047133;113531556;100887;-1;-1;0;0;220810085;1077015595;hour
56.180.51.172;2015-09-15 21:30:00;1142609036;112974672;1628123587;1692899641;45918755;35189;-1;-1;0;0;96932919;923680323;hour
56.180.51.172;2015-09-15 22:30:00;774953896;113223137;998212571;1187826375;33482310;28843;-1;-1;0;0;76327578;492681949;hour
56.180.51.172;2015-09-15 23:30:00;306385018;88031752;917721918;639915722;23403646;29390;-1;-1;0;0;79182400;500792481;hour
56.180.51.172;2015-09-16 00:30:00;357906129;118978223;1226913039;642548705;22249955;25561;-1;-1;0;0;69563502;623629965;hour
56.180.51.172;2015-09-16 01:30:00;470892723;99249179;1850547348;912558636;42613696;35011;-1;-1;0;0;94784495;960890352;hour
56.180.51.172;2015-09-16 02:30:00;300900080;89355784;1104012264;585717553;28576910;27754;-1;-1;0;0;90138883;600217271;hour
56.180.51.172;2015-09-16 03:30:00;73967486;52253620;755315004;301334201;23914413;30511;-1;-1;0;0;73129079;455582177;hour
56.180.51.172;2015-09-16 04:30:00;51212229;54329118;447302573;186442421;8229903;18372;-1;-1;0;0;41522158;227325798;hour
56.180.51.172;2015-09-16 05:30:00;40470140;44459644;424316703;168820348;9327958;21123;-1;-1;0;0;35654687;226790379;hour
56.180.51.172;2015-09-16 06:30:00;44953931;43148736;432590921;138587490;8935160;20264;-1;-1;0;0;34272530;239224780;hour
56.180.51.172;2015-09-16 07:30:00;39985968;47597399;516330830;142921428;8466656;19417;-1;-1;0;0;42205378;310303526;hour
56.180.51.172;2015-09-16 08:30:00;135812558;83572105;591127194;266736935;9865710;18274;-1;-1;0;0;38069131;293305180;hour
56.180.51.172;2015-09-16 09:30:00;132645626;624269662;1207313507;297751461;14888628;21890;-1;-1;0;0;46447860;418031461;hour
56.180.51.172;2015-09-16 10:30:00;69085145;585026083;1294940754;181270356;9851578;18809;-1;-1;0;0;45368196;542209939;hour
56.180.51.172;2015-09-16 11:30:00;35680780;42231488;490539735;157221432;8507228;20303;-1;-1;0;0;41092059;343262903;hour
56.180.51.172;2015-09-16 12:30:00;43548817;61459511;463158478;196145162;13537044;19503;-1;-1;0;0;36109884;262884795;hour
56.180.51.172;2015-09-16 13:30:00;31218292;37310098;382760209;142033609;13656615;16226;-1;-1;0;0;34537368;222278152;hour
56.180.51.172;2015-09-16 14:30:00;126218410;47273801;335568712;248673728;12576397;18073;-1;-1;0;0;35965815;208501784;hour
56.180.51.172;2015-09-16 15:30:00;62813408;43969208;378948846;194043615;6779902;18505;-1;-1;0;0;45098506;265162135;hour
56.180.51.172;2015-09-16 16:30:00;635221752;66072744;642666335;963042118;8463401;19298;-1;-1;0;0;58259840;432421589;hour
56.180.51.172;2015-09-16 17:30:00;3040314823;138382375;649237156;3236411356;9340344;18388;-1;-1;0;0;59745278;379046624;hour
56.180.51.172;2015-09-16 18:30:00;3087076907;191513047;1157228444;3387465798;19312968;25012;-1;-1;0;0;80219119;625273452;hour
56.180.51.172;2015-09-16 19:30:00;3946991626;236801143;1010878785;4253064036;18876349;25137;-1;-1;0;0;80240306;520485976;hour
56.182.40.11;2015-09-15 21:30:00;15633310;4043495;17017942;25804787;1819075;1569;-1;-1;0;0;3595759;8282825;hour
56.182.40.11;2015-09-15 22:30:00;43917595;13301990;31552585;61552231;1619661;1323;-1;-1;0;0;4039760;10776002;hour
56.182.40.11;2015-09-15 23:30:00;47164482;10960652;28000169;62379454;1854228;1437;-1;-1;0;0;4099964;10308283;hour
56.182.40.11;2015-09-16 00:30:00;5882469;4012696;21361808;18031524;1879759;1267;-1;-1;0;0;3817165;11037234;hour
56.182.40.11;2015-09-16 01:30:00;12035521;4015625;34954743;24527876;2108421;1392;-1;-1;0;0;4450592;18409623;hour
56.182.40.11;2015-09-16 02:30:00;118315144;17182004;81919748;143366383;4074074;2175;-1;-1;0;0;7545501;35452094;hour
56.182.40.11;2015-09-16 03:30:00;36408320;8844056;45093511;55313166;1712348;1623;-1;-1;0;0;5164386;23199629;hour
56.182.40.11;2015-09-16 04:30:00;106962699;8505459;151942613;372475789;2529677;1773;-1;-1;0;0;7295563;99487026;hour
56.182.40.11;2015-09-16 05:30:00;39610815;7916067;17179553;58407541;1496823;1103;-1;-1;0;0;3029674;5423453;hour
56.182.40.11;2015-09-16 06:30:00;5602028;3969758;28367647;19367143;1600052;1354;-1;-1;0;0;4113858;17149169;hour
56.182.40.11;2015-09-16 07:30:00;3295973;3941601;17608970;16252436;1498971;869;-1;-1;0;0;3184320;9668040;hour
56.182.40.11;2015-09-16 08:30:00;3614762;6513288;24321015;28988138;1500102;910;-1;-1;0;0;3501634;14384790;hour
56.182.40.11;2015-09-16 09:30:00;9467574;104121333;152481453;21260690;1594327;1047;-1;-1;0;0;4469288;44982110;hour
56.182.40.11;2015-09-16 10:30:00;7779432;118182109;156376451;16303993;1409854;1379;-1;-1;0;0;4721611;44537199;hour
56.182.40.11;2015-09-16 11:30:00;3070995;8152672;40013780;24720563;1348053;1259;-1;-1;0;0;3687479;29752753;hour
56.182.40.11;2015-09-16 12:30:00;4378012;13382782;44805381;17672253;1389156;1478;-1;-1;0;0;4282529;28724602;hour
56.182.40.11;2015-09-16 13:30:00;2643909;3534130;19662033;11697794;1410205;883;-1;-1;0;0;3545726;14395963;hour
56.182.40.11;2015-09-16 14:30:00;2822548;3733785;16813504;14118675;1495876;1196;-1;-1;0;0;3654182;10502750;hour
56.182.40.11;2015-09-16 15:30:00;2567470;3475584;12424489;12672319;1525909;997;-1;-1;0;0;3239396;6647946;hour
56.182.40.11;2015-09-16 16:30:00;4129918;4238175;28536360;18790851;1856710;1572;-1;-1;0;0;5393527;20298250;hour
56.182.40.11;2015-09-16 17:30:00;3403563;4044952;51264250;21044317;2174295;1486;-1;-1;0;0;9960210;32587471;hour
56.182.40.11;2015-09-16 18:30:00;9610809;4783985;21300165;20916069;1822815;1516;-1;-1;0;0;4147953;12343655;hour
56.182.40.11;2015-09-16 19:30:00;73142262;9281759;40253641;88367721;2352361;1164;-1;-1;0;0;5076980;19183609;hour
56.184.45.14;2015-09-15 21:30:00;8188925;5975804;279617205;19332867;780505;2710;-1;-1;0;0;7522099;266858927;hour
56.184.45.14;2015-09-15 22:30:00;13470273;5161563;26883461;22703482;785771;3167;-1;-1;0;0;3674426;14060302;hour
56.184.45.14;2015-09-15 23:30:00;106216929;7103642;96983527;112622566;628101;2358;-1;-1;0;0;3725597;82611087;hour
56.184.45.14;2015-09-16 00:30:00;17243288;5229409;22800515;22210838;644626;2401;-1;-1;0;0;2028994;11068747;hour
56.184.45.14;2015-09-16 01:30:00;7610268;4439019;74105043;17119453;703816;2712;-1;-1;0;0;4717071;58923528;hour
56.184.45.14;2015-09-16 02:30:00;8693615;4500420;33428957;16955685;729165;3450;-1;-1;0;0;3618989;20123929;hour
56.184.45.14;2015-09-16 03:30:00;43325468;6154676;32255612;49574875;669123;2429;-1;-1;0;0;2713828;16535322;hour
56.184.45.14;2015-09-16 04:30:00;8041780;5458994;61653716;18925637;694268;2388;-1;-1;0;0;5888484;47053927;hour
56.184.45.14;2015-09-16 05:30:00;54679256;6554185;35371487;65647756;893496;2770;-1;-1;0;0;4946835;20089813;hour
56.184.45.14;2015-09-16 06:30:00;6088729;5785153;30186190;13990545;712612;2254;-1;-1;0;0;4611458;17830686;hour
56.184.45.14;2015-09-16 07:30:00;2921945;2907161;14163402;6793228;338901;1786;-1;-1;0;0;1805799;8074625;hour
56.184.45.14;2015-09-16 08:30:00;1710115;2413017;9606525;5298113;212624;1047;-1;-1;0;0;1328292;5825648;hour
56.184.45.14;2015-09-16 09:30:00;1598759;2559561;8634239;4075225;248083;825;-1;-1;0;0;726938;2595428;hour
56.184.45.14;2015-09-16 10:30:00;1589899;2300493;14861982;4652516;210068;991;-1;-1;0;0;867801;10002717;hour
56.184.45.14;2015-09-16 11:30:00;1573523;2255962;13056263;4529554;175931;726;-1;-1;0;0;985377;9552111;hour
56.184.45.14;2015-09-16 12:30:00;4680305;2512831;13571269;7404334;183096;1026;-1;-1;0;0;1139732;9945917;hour
56.184.45.14;2015-09-16 13:30:00;1252033;2213361;10833979;3840997;160502;1029;-1;-1;0;0;1060672;7535030;hour
56.184.45.14;2015-09-16 14:30:00;1373730;2329948;7404636;4497734;567774;1209;-1;-1;0;0;1177219;3733577;hour
56.184.45.14;2015-09-16 15:30:00;1795590;2563332;7411913;6341238;810341;942;-1;-1;0;0;1391875;2998860;hour
56.184.45.14;2015-09-16 16:30:00;1540452;2541835;6576819;4628510;425816;918;-1;-1;0;0;1150964;2749979;hour
56.184.45.14;2015-09-16 17:30:00;2497496;3036505;26277354;8624175;857228;1163;-1;-1;0;0;2389966;20716569;hour
56.184.45.14;2015-09-16 18:30:00;3610019;3696230;11186097;8162535;705116;999;-1;-1;0;0;1499990;5063566;hour
56.184.45.14;2015-09-16 19:30:00;4106841;3294149;16495215;12950082;776670;1495;-1;-1;0;0;2717288;9952626;hour
56.198.170.9;2015-09-15 21:30:00;106946302;31971572;754019269;683491045;21677087;13605;-1;-1;0;0;45119947;387325109;hour
56.198.170.9;2015-09-15 22:30:00;87798783;20191122;722615297;393111451;42088524;22930;-1;-1;0;0;65621857;433060708;hour
56.198.170.9;2015-09-15 23:30:00;16292505;14529464;605470335;162945241;42903527;20714;-1;-1;0;0;63127404;338867128;hour
56.198.170.9;2015-09-16 00:30:00;21895530;13004120;653017961;109264800;12259402;11583;-1;-1;0;0;31353704;363358942;hour
56.198.170.9;2015-09-16 01:30:00;67988944;14777293;415156512;282993997;15860858;15931;-1;-1;0;0;34715957;235768646;hour
56.198.170.9;2015-09-16 02:30:00;12897248;14093694;419130440;121745994;18367424;16659;-1;-1;0;0;41027888;260570344;hour
56.198.170.9;2015-09-16 03:30:00;16094685;18197116;1042543459;220737991;12505910;12574;-1;-1;0;0;35518382;628625234;hour
56.198.170.9;2015-09-16 04:30:00;22759089;11832967;350802669;126365578;5222255;9173;-1;-1;0;0;21187994;208628820;hour
56.198.170.9;2015-09-16 05:30:00;11329961;10515076;52358520;85546575;2003157;6928;-1;-1;0;0;11576408;32818877;hour
56.198.170.9;2015-09-16 06:30:00;9013142;11015487;74854527;43151242;1415869;7245;-1;-1;0;0;14202505;56776979;hour
56.198.170.9;2015-09-16 07:30:00;9879077;10558022;119351183;45541381;2025897;7993;-1;-1;0;0;14954256;88790731;hour
56.198.170.9;2015-09-16 08:30:00;8751102;10397941;165111773;52234263;3364818;8340;-1;-1;0;0;18682658;116512571;hour
56.198.170.9;2015-09-16 09:30:00;11153511;10498712;243952097;74118945;6239890;10798;-1;-1;0;0;20400525;185018654;hour
56.198.170.9;2015-09-16 10:30:00;40298666;371816885;724402169;94838270;7328659;9188;-1;-1;0;0;26030150;321908525;hour
56.198.170.9;2015-09-16 11:30:00;11285414;10618100;252122994;99408331;5980494;7576;-1;-1;0;0;21549987;195761424;hour
56.198.170.9;2015-09-16 12:30:00;7084234;9078922;201071490;70552602;17340431;9554;-1;-1;0;0;28466456;135136393;hour
56.198.170.9;2015-09-16 13:30:00;16153082;10426975;150438619;56274075;5962371;8927;-1;-1;0;0;15994917;92262918;hour
56.198.170.9;2015-09-16 14:30:00;9776168;11003126;373482860;70216880;4595895;7505;-1;-1;0;0;19194986;261433622;hour
56.198.170.9;2015-09-16 15:30:00;129544442;14037878;228118609;172306970;3321103;7566;-1;-1;0;0;16745610;176688089;hour
56.198.170.9;2015-09-16 16:30:00;426977113;40279655;172783130;499662408;6205974;8600;-1;-1;0;0;26038476;112799177;hour
56.198.170.9;2015-09-16 17:30:00;22481473;15068827;223764827;245726383;65062839;12131;-1;-1;0;0;89935704;164566902;hour
56.198.170.9;2015-09-16 18:30:00;17871791;13964598;250297642;118860571;21007608;13370;-1;-1;0;0;42810570;171349141;hour
56.198.170.9;2015-09-16 19:30:00;83296643;20434930;278765275;162906900;8731921;14129;-1;-1;0;0;33713162;186061065;hour
56.240.16.10;2015-09-15 21:30:00;806413430;208686077;1577480864;1707499457;55211550;47581;-1;-1;0;0;166851165;961311715;hour
56.240.16.10;2015-09-15 22:30:00;2050134424;279747971;1995832205;2690770574;73555496;61274;-1;-1;0;0;170225297;1112048896;hour
56.240.16.10;2015-09-15 23:30:00;323514974;164905599;2525680979;1036938775;57249380;53276;-1;-1;0;0;167102204;1735932285;hour
56.240.16.10;2015-09-16 00:30:00;426452914;240103693;5121036368;1192333472;83052501;47275;-1;-1;0;0;213504822;3146353070;hour
56.240.16.10;2015-09-16 01:30:00;438843864;261781302;4750608146;1321087471;114330486;58673;-1;-1;0;0;243830271;3079595634;hour
56.240.16.10;2015-09-16 02:30:00;1834947866;297285489;4161171917;2773161594;103980247;81252;-1;-1;0;0;245708105;2447707503;hour
56.240.16.10;2015-09-16 03:30:00;627205078;187625899;4107377809;1321843689;99963093;62581;-1;-1;0;0;227441009;2405502055;hour
56.240.16.10;2015-09-16 04:30:00;702206336;163699408;1972960073;1270246438;64430952;64761;-1;-1;0;0;165422778;1142695588;hour
56.240.16.10;2015-09-16 05:30:00;285536931;157039594;2474464239;819524337;76854971;56508;-1;-1;0;0;195189323;1907450342;hour
56.240.16.10;2015-09-16 06:30:00;220363901;139721765;2275669016;579606303;45555043;48742;-1;-1;0;0;161562453;1700209954;hour
56.240.16.10;2015-09-16 07:30:00;245762342;135862675;1901637128;571985583;47737261;37796;-1;-1;0;0;114472751;1155227798;hour
56.240.16.10;2015-09-16 08:30:00;137667318;129999707;1138797919;450607458;39443820;38636;-1;-1;0;0;114052885;779660837;hour
56.240.16.10;2015-09-16 09:30:00;195594228;731714342;1721935176;494324748;39638394;35313;-1;-1;0;0;97775138;694678614;hour
56.240.16.10;2015-09-16 10:30:00;250849863;377943453;1765749097;628574669;50092707;38991;-1;-1;0;0;111445596;934232346;hour
56.240.16.10;2015-09-16 11:30:00;150691384;311012836;2026492926;461206182;42074980;33435;-1;-1;0;0;115195955;1174253532;hour
56.240.16.10;2015-09-16 12:30:00;227724045;159319978;1884719567;625714709;47228102;33620;-1;-1;0;0;119308919;1129078185;hour
56.240.16.10;2015-09-16 13:30:00;191558958;159643782;1077620320;571952901;35783140;27645;-1;-1;0;0;104432170;677757247;hour
56.240.16.10;2015-09-16 14:30:00;204493708;145434040;815785051;594554093;34426665;32039;-1;-1;0;0;85977278;450274760;hour
56.240.16.10;2015-09-16 15:30:00;153126516;128273848;562350686;597076876;29725691;31148;-1;-1;0;0;79094129;289199393;hour
56.240.16.10;2015-09-16 16:30:00;131281080;129013978;655621555;394739266;27244768;40140;-1;-1;0;0;91902748;414475457;hour
56.240.16.10;2015-09-16 17:30:00;107526240;123062289;674118785;340646302;29406870;31747;-1;-1;0;0;84233428;382777084;hour
56.240.16.10;2015-09-16 18:30:00;1805179117;387995678;1602236354;2227828314;42752957;35352;-1;-1;0;0;124052151;818333177;hour
56.240.16.10;2015-09-16 19:30:00;2196203741;252029290;1838054245;2845895446;42278709;42707;-1;-1;0;0;170802020;1191642448;hour
56.242.217.8;2015-09-15 21:30:00;2820161;1700801;33044264;9958907;958652;864;-1;-1;0;0;4310359;17245117;hour
56.242.217.8;2015-09-15 22:30:00;3630186;1439743;55191127;40088061;1433060;804;-1;-1;0;0;3017715;28938160;hour
56.242.217.8;2015-09-15 23:30:00;1585609;1008016;12639659;6991980;259859;644;-1;-1;0;0;2890096;10407209;hour
56.242.217.8;2015-09-16 00:30:00;1491636;1059113;34086853;8533682;1569660;1007;-1;-1;0;0;3020317;18696845;hour
56.242.217.8;2015-09-16 01:30:00;18747935;1472556;18694050;55504316;419265;663;-1;-1;0;0;3068806;8223224;hour
56.242.217.8;2015-09-16 02:30:00;1751878;1433584;15807628;7107315;598812;1064;-1;-1;0;0;3597558;10897842;hour
56.242.217.8;2015-09-16 03:30:00;1231466;1379453;170633378;14206571;4239140;817;-1;-1;0;0;6936840;87380192;hour
